2003_CAS_code,Name,2006,2007,2008,2009,2010,2011,2012,2013,2014
00AQGK,Marlborough,227,245,175,223,280,300,334,293,242
00AQGL,Pinner,84,87,62,102,154,135,128,135,87
00AQGM,Pinner South,92,90,66,95,128,84,113,100,72
00AQGN,Queensbury,177,175,103,148,218,176,185,159,116
00AQGP,Rayners Lane,106,124,103,154,174,124,166,127,104
00AQGQ,Roxbourne,253,217,187,237,382,299,356,278,237
00AQGR,Roxeth,163,187,148,192,269,261,262,191,195
00AQGS,Stanmore Park,103,101,68,104,170,118,150,131,127
00AQGT,Wealdstone,225,199,140,231,290,286,302,274,226
00AQGU,West Harrow,168,151,130,168,243,202,204,157,126
00ARGC,Brooklands,164,184,164,265,368,365,429,414,292
00ARGD,Cranham,68,79,68,120,166,138,162,158,118
00ARGE,Elm Park,146,139,124,218,319,280,332,298,227
00ARGF,Emerson Park,72,79,63,123,166,130,145,134,104
00ARGG,Gooshays,295,315,265,398,577,536,622,567,416
00ARGH,Hacton,104,87,89,182,216,178,184,218,156
00ARGJ,Harold Wood,163,161,149,232,287,293,317,295,200
00ARGK,Havering Park,195,192,155,276,405,355,401,373,269
00ARGL,Heaton,225,211,218,329,415,425,495,497,338
00ARGM,Hylands,111,88,81,171,243,223,218,208,140
00ARGN,Mawneys,142,125,103,203,279,263,302,258,174
00ARGP,Pettits,91,81,69,162,180,176,202,187,130
00ARGQ,Rainham and Wennington,120,151,122,244,308,280,304,318,212
00ARGR,Romford Town,206,214,173,312,442,418,470,444,354
00ARGS,St Andrew's,104,113,99,182,236,213,252,245,168
00ARGT,South Hornchurch,250,237,213,305,417,388,451,438,312
00ARGU,Squirrel's Heath,114,108,90,170,222,210,247,237,157
00ARGW,Upminster,68,65,43,96,146,116,104,129,75
00ASGG,Barnhill,244,244,192,273,373,342,347,343,304
00ASGH,Botwell,339,294,239,348,542,427,484,450,392
00ASGJ,Brunel,169,186,120,205,293,223,249,234,183
00ASGK,Cavendish,103,99,89,134,198,141,147,127,98
00ASGL,Charville,164,147,132,221,316,227,258,235,217
00ASGM,Eastcote and East Ruislip,88,58,61,89,135,86,110,109,84
00ASGN,Harefield,93,82,79,111,180,118,119,109,86
00ASGP,Heathrow Villages,190,149,130,163,325,270,255,232,207
00ASGQ,Hillingdon East,162,157,133,176,308,220,270,216,137
00ASGR,Ickenham,68,68,39,76,117,81,86,61,42
00ASGS,Manor,107,116,75,141,203,149,131,113,113
00ASGT,Northwood,92,83,68,87,144,109,130,111,94
00ASGU,Northwood Hills,116,93,75,109,164,135,153,121,116
00ASGW,Pinkwell,288,234,187,258,389,300,361,352,287
00ASGX,South Ruislip,141,157,124,193,250,197,209,193,137
00ASGY,Townfield,376,315,250,342,503,393,414,458,357
00ASGZ,Uxbridge North,129,134,113,180,249,183,192,190,119
00ASHA,Uxbridge South,171,199,124,203,363,259,254,236,196
00ASHB,West Drayton,186,201,172,271,403,326,370,319,207
00ASHC,West Ruislip,78,101,78,120,171,113,118,103,90
00ASHD,Yeading,283,223,202,266,405,323,343,323,255
00ASHE,Yiewsley,207,214,176,249,401,336,354,289,248
00ATFY,Bedfont,223,219,166,247,324,283,318,308,234
00ATFZ,Brentford,194,216,155,221,328,324,312,312,257
00ATGA,Chiswick Homefields,142,138,97,166,208,157,157,120,89
00ATGB,Chiswick Riverside,100,89,80,114,177,145,164,183,159
00ATGC,Cranford,236,200,139,208,320,268,312,285,235
00ATGD,Feltham North,159,180,134,212,266,254,254,264,183
00ATGE,Feltham West,206,188,170,274,329,319,338,314,242
00ATGF,Hanworth,198,202,169,246,332,301,323,302,257
00ATGG,Hanworth Park,156,145,107,188,234,195,218,202,153
00ATGH,Heston Central,175,187,166,174,281,233,270,254,197
00ATGJ,Heston East,190,162,148,180,303,240,252,242,199
00ATGK,Heston West,242,223,196,241,370,317,336,310,249
00ATGL,Hounslow Central,175,169,139,180,319,283,271,264,224
00ATGM,Hounslow Heath,244,202,158,248,352,327,359,347,289
00ATGN,Hounslow South,106,99,97,123,191,161,175,154,141
00ATGP,Hounslow West,201,166,160,196,282,245,271,270,228
00ATGQ,Isleworth,179,203,151,235,300,281,283,311,203
00ATGR,Osterley and Spring Grove,126,123,88,148,219,176,168,166,132
00ATGS,Syon,149,141,121,205,314,246,261,258,203
00ATGT,Turnham Green,113,109,98,119,169,160,188,158,135
00AXFX,Alexandra,50,64,53,84,121,112,110,109,73
00AXFY,Berrylands,83,62,55,95,139,128,140,121,85
00AXFZ,Beverley,105,98,77,106,180,144,142,142,118
00AXGA,Canbury,84,81,78,111,151,142,132,144,119
00AXGB,Chessington North and Hook,83,86,57,109,161,121,134,127,98
00AXGC,Chessington South,79,84,64,115,167,116,132,134,120
00AXGD,Coombe Hill,85,62,74,92,139,100,111,115,92
00AXGE,Coombe Vale,79,57,40,72,115,85,87,89,79
00AXGF,Grove,106,90,89,131,175,135,141,139,110
00AXGG,Norbiton,207,190,138,197,234,213,244,241,160
00AXGH,Old Malden,66,69,47,85,124,85,105,95,80
00AXGJ,St James,74,52,60,77,109,93,103,95,75
00AXGK,St Mark's,149,118,102,126,187,157,159,141,117
00AXGL,Surbiton Hill,85,78,53,99,154,112,101,87,78
00AXGM,Tolworth and Hook Rise,102,77,58,110,202,151,141,137,99
00AXGN,Tudor,67,46,37,68,88,65,78,93,63
00BAFX,Abbey,155,127,95,109,165,142,143,161,116
00BAFY,Cannon Hill,105,81,66,119,138,118,127,128,86
00BAFZ,Colliers Wood,218,213,157,167,229,190,221,195,158
00BAGA,Cricket Green,306,313,224,251,365,320,422,391,350
00BAGB,Dundonald,83,75,42,68,96,76,83,78,60
00BAGC,Figge's Marsh,272,270,211,283,387,326,419,363,289
00BAGD,Graveney,212,197,121,166,262,225,293,261,210
00BAGE,Hillside,73,53,42,73,97,68,70,74,56
00BAGF,Lavender Fields,244,199,172,198,263,247,293,278,232
00BAGG,Longthornton,173,181,154,224,309,244,304,263,207
00BAGH,Lower Morden,107,86,58,119,135,116,135,125,86
00BAGJ,Merton Park,92,96,73,98,110,105,112,93,84
00BAGK,Pollards Hill,257,229,162,228,333,309,402,347,288
00BAGL,Ravensbury,218,177,122,177,288,258,271,255,222
00BAGM,Raynes Park,105,66,51,82,93,79,84,97,80
00BAGN,St Helier,191,167,112,184,240,242,220,226,208
00BAGP,Trinity,163,152,129,139,167,152,143,136,127
00BAGQ,Village,38,29,22,31,48,25,37,37,24
00BAGR,West Barnes,87,73,70,106,139,111,139,120,92
00BAGS,Wimbledon Park,85,80,35,81,117,97,126,126,97
00BCFY,Aldborough,188,216,160,257,349,291,310,272,197
00BCFZ,Barkingside,137,143,115,178,240,217,242,201,140
00BCGA,Bridge,140,144,130,198,248,269,282,252,181
00BCGB,Chadwell,188,213,191,284,348,355,418,369,270
00BCGC,Church End,110,114,82,156,196,181,228,181,123
00BCGD,Clayhall,114,134,113,165,243,218,243,203,143
00BCGE,Clementswood,351,318,272,370,448,422,505,473,333
00BCGF,Cranbrook,211,235,149,237,299,263,290,264,203
00BCGG,Fairlop,146,155,119,218,253,276,272,262,189
00BCGH,Fullwell,173,166,162,230,340,312,330,305,227
00BCGJ,Goodmayes,259,265,219,323,421,421,426,435,323
00BCGK,Hainault,198,221,181,274,336,368,423,376,267
00BCGL,Loxford,392,415,336,421,546,577,659,652,454
00BCGM,Mayfield,206,191,168,247,323,331,399,352,238
00BCGN,Monkhams,71,67,37,99,106,92,96,111,82
00BCGP,Newbury,253,271,228,317,420,401,433,408,275
00BCGQ,Roding,192,171,149,223,299,264,277,251,166
00BCGR,Seven Kings,281,263,219,324,474,415,479,429,312
00BCGS,Snaresbrook,104,123,95,151,177,172,190,149,125
00BCGT,Valentines,422,405,321,407,509,467,502,492,346
00BCGU,Wanstead,122,132,103,161,211,202,203,176,112
00BDFW,Barnes,81,71,52,69,109,87,96,88,104
00BDFX,East Sheen,60,54,32,64,86,71,72,61,64
00BDFY,Fulwell and Hampton Hill,78,66,36,91,129,105,108,109,82
00BDFZ,"Ham, Petersham and Richmond Riverside",134,115,87,126,176,134,141,149,134
00BDGA,Hampton,93,91,73,95,137,93,91,107,95
00BDGB,Hampton North,124,117,78,149,187,140,144,161,145
00BDGC,Hampton Wick,70,62,49,79,123,91,121,112,87
00BDGD,Heathfield,111,123,122,149,205,174,172,182,167
00BDGE,Kew,95,80,71,101,115,110,115,99,84
00BDGF,Mortlake and Barnes Common,112,100,68,100,160,126,133,126,104
00BDGG,North Richmond,121,89,90,116,144,133,125,122,107
00BDGH,St Margarets and North Twickenham,72,60,44,79,112,87,85,100,88
00BDGJ,South Richmond,104,92,57,91,120,93,101,89,95
00BDGK,South Twickenham,82,65,60,91,120,96,78,91,69
00BDGL,Teddington,67,57,46,88,123,97,86,81,72
00BDGM,Twickenham Riverside,86,74,47,94,123,114,104,88,71
00BDGN,West Twickenham,102,95,65,108,147,132,110,112,94
00BDGP,Whitton,86,84,66,120,159,126,139,113,92
00BFGC,Beddington North,104,92,57,126,189,163,176,172,116
00BFGD,Beddington South,151,151,127,188,280,240,298,285,217
00BFGE,Belmont,85,83,53,114,161,139,145,155,110
00BFGF,Carshalton Central,110,118,87,123,174,157,178,142,102
00BFGG,Carshalton South and Clockhouse,76,87,66,100,126,126,144,118,79
00BFGH,Cheam,62,51,43,71,120,89,97,80,62
00BFGJ,Nonsuch,52,54,42,85,145,104,91,87,67
00BFGK,St Helier,237,196,190,279,362,336,372,373,263
00BFGL,Stonecot,72,85,64,114,160,133,154,115,84
00BFGM,Sutton Central,245,202,171,216,300,295,318,322,247
00BFGN,Sutton North,128,91,77,113,201,172,188,161,119
00BFGP,Sutton South,123,94,105,121,175,147,159,173,121
00BFGQ,Sutton West,111,84,68,118,191,122,155,124,123
00BFGR,The Wrythe,179,164,118,200,260,237,234,192,134
00BFGS,Wallington North,143,113,96,135,209,173,206,189,135
00BFGT,Wallington South,132,114,98,133,176,184,217,202,137
00BFGU,Wandle Valley,244,207,184,257,364,317,375,393,295
00BFGW,Worcester Park,102,84,53,110,176,144,154,137,109
00BHFX,Cann Hall,382,365,307,373,457,496,547,490,399
00BHFY,Cathall,398,382,332,419,564,580,671,617,496
00BHFZ,Chapel End,233,271,240,306,399,400,491,446,319
00BHGA,Chingford Green,126,109,98,144,208,177,218,221,161
00BHGB,Endlebury,124,142,136,179,302,237,255,251,188
00BHGC,Forest,292,288,244,307,371,359,405,406,281
00BHGD,Grove Green,319,303,277,379,479,440,482,493,347
00BHGE,Hale End and Highams Park,181,222,193,241,347,294,358,295,236
00BHGF,Hatch Lane,202,204,169,237,289,276,334,340,228
00BHGG,High Street,339,406,308,362,462,449,511,540,401
00BHGH,Higham Hill,389,424,346,408,504,532,632,620,476
00BHGJ,Hoe Street,456,467,404,449,628,590,690,756,555
00BHGK,Larkswood,166,189,182,241,313,311,365,342,251
00BHGL,Lea Bridge,434,475,443,473,648,626,731,707,503
00BHGM,Leyton,474,470,416,457,584,590,741,670,511
00BHGN,Leytonstone,299,287,243,320,405,408,429,393,306
00BHGP,Markhouse,405,417,345,398,458,487,575,548,427
00BHGQ,Valley,270,240,200,269,309,335,407,376,303
00BHGR,William Morris,414,382,309,372,456,461,509,479,359
00BHGS,Wood Street,388,388,338,409,450,441,577,571,444
